Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.32829	97.25191	99.36601	97.16124	1097.43481	3180.54883	217.01303	0.00000	1.00000	607.54419	3623.39526	102	1	-1	1	0	0
1	99.17436	97.62192	99.21414	97.39662	1104.40637	3161.14526	213.97870	0.00000	1.00000	629.06421	3713.39478	203	1	-1	1	0	0
1	99.48316	97.40884	99.39666	97.22523	1082.99109	4603.98193	262.20007	0.00000	1.00000	574.20374	5238.90674	304	1	-1	1	0	0
1	99.51920	97.30030	99.38767	97.15227	1254.62463	4742.20898	248.16788	0.00000	1.00000	623.50311	5161.42334	405	1	-1	1	0	0
1	99.31364	97.59618	99.26048	97.36369	1111.36292	3790.13672	235.92371	0.00000	1.00000	640.52112	4450.97119	506	1	-1	1	0	0
1	99.38068	97.44188	99.30804	97.17221	924.35565	5970.83105	324.47452	0.00000	1.00000	550.01056	6635.73584	607	1	-1	1	0	0
1	99.53173	97.60968	99.38308	97.33881	966.75983	5052.68115	296.88889	0.00000	1.00000	658.31787	5330.05322	708	1	-1	1	0	0
1	99.46225	97.42622	99.25183	97.23677	828.05341	4907.08545	310.53894	0.00000	1.00000	610.47125	5438.21973	809	1	-1	1	0	0
1	99.70340	97.30082	99.43748	97.18099	876.94495	6216.10107	332.67691	0.00000	1.00000	517.04858	6751.78613	910	1	-1	1	0	0
1	99.50385	97.46227	99.26123	97.31396	1313.05383	6026.45068	270.69592	0.00000	1.00000	572.28387	6483.90137	1011	1	-1	1	0	0
1	99.57391	97.37377	99.37524	97.25253	961.05170	7497.89893	356.60129	0.00000	1.00000	521.93250	7631.68750	1112	1	-1	1	0	0
1	99.45382	97.28098	99.27045	97.16697	1017.63538	7833.57861	354.22705	0.00000	1.00000	513.75659	7833.08594	1213	1	-1	1	0	0
1	99.56735	97.53292	99.30141	97.31425	1076.55322	5424.85645	292.51721	0.00000	1.00000	657.24213	5890.94482	1314	1	-1	1	0	0
1	99.79286	97.53557	99.44475	97.29228	1109.42590	4492.48291	258.30356	0.00000	1.00000	703.92352	5064.91211	1415	1	-1	1	0	0
1	99.54768	97.37350	99.25946	97.17474	1302.23901	5710.96289	267.29855	0.00000	1.00000	602.18378	6436.40771	1516	1	-1	1	0	0
1	99.57845	97.52306	99.28751	97.27816	864.31641	3949.16138	274.51184	0.00000	1.00000	654.22534	4449.36816	1617	1	-1	1	0	0
1	99.77625	97.56853	99.38702	97.23633	1291.99133	3381.39160	206.48145	0.00000	1.00000	687.85504	3759.62402	1718	1	-1	1	0	0
1	99.70052	97.78847	99.34386	97.30929	1123.59912	5385.79004	279.28720	0.00000	1.00000	639.57886	5919.53027	1920	1	-1	1	0	0
1	99.49615	97.54449	99.30212	97.18492	1119.89221	5512.06787	283.11493	0.00000	1.00000	619.42664	5983.33398	2122	1	-1	1	0	0
1	99.49871	97.69341	99.33679	97.29845	1070.23560	4840.59619	271.26120	0.00000	1.00000	629.50940	5617.26514	2223	1	-1	1	0	0
1	99.46663	97.65540	99.35099	97.30434	1657.75183	6610.55273	254.60316	0.00000	1.00000	601.57141	7315.71484	2324	1	-1	1	0	0
1	99.34129	97.40266	99.25849	97.15662	1601.53406	5908.54346	245.20764	0.00000	1.00000	613.18921	6180.26953	2425	1	-1	1	0	0
1	99.49825	97.53365	99.37785	97.25597	1205.49194	7225.39258	312.65338	0.00000	1.00000	559.99182	7699.20459	2526	1	-1	1	0	0
1	99.45613	97.65073	99.32328	97.24931	1006.22388	9934.74512	401.24579	0.00000	1.00000	505.99643	9434.08887	2627	1	-1	1	0	0
1	99.43363	97.78080	99.33122	97.34019	973.83862	4640.07227	281.16064	0.00000	1.00000	656.98602	5456.34961	2728	1	-1	1	0	0
1	99.39873	97.55323	99.28868	97.15862	1321.72217	6255.83203	277.80582	0.00000	1.00000	629.45435	6857.64160	2829	1	-1	1	0	0
1	99.52477	97.70175	99.30952	97.31263	938.76648	4380.26221	280.32385	0.00000	1.00000	626.64453	4855.88867	2930	1	-1	1	0	0
1	99.73000	97.60548	99.44794	97.30225	931.82349	5841.81641	319.32510	0.00000	1.00000	587.37604	6711.59717	3031	1	-1	1	0	0
1	99.45113	97.30182	99.26539	97.11523	938.98798	6234.63818	336.27637	0.00000	1.00000	621.96735	6758.81836	3132	1	-1	1	0	0
1	99.42333	97.54980	99.27928	97.29986	1237.65466	5758.16992	275.74411	0.00000	1.00000	601.46259	6612.43750	3233	1	-1	1	0	0
1	99.59496	97.60710	99.41730	97.30921	1064.89111	9823.67578	387.69437	0.00000	1.00000	487.88281	9498.93164	3334	1	-1	1	0	0
